Poet name,Poem name,Poem
فاضل جمیلی,مثال شمع جلا ہوں دھواں سا بکھرا ہوں,"مثال شمع جلا ہوں دھواں سا بکھرا ہوں
میں انتظار کی ہر کیفیت سے گزرا ہوں
سب اپنے اپنے دیوں کے اسیر پائے گئے
میں چاند بن کے کئی آنگنوں میں اترا ہوں
کچھ اور بڑھ گئی بارش میں بے بسی اپنی
نہ بام سے نہ کسی کی گلی سے گزرا ہوں
پکارتی تھی مجھے ساحلوں کی خاموشی
میں ڈوب ڈوب کے جو بار بار ابھرا ہوں
کیوں اتنا میرے خیالوں میں بس گیا ہے کوئی
کبھی کسی کے تصور سے میں بھی گزرا ہوں
کوئی تو آج مجھے آنکھ بھر کے دیکھے گا
میں آج اپنے لہو میں نہا کے نکھرا ہوں"
فاضل جمیلی,سخن جو اس نے کہے تھے گرہ سے باندھ لیے,"سخن جو اس نے کہے تھے گرہ سے باندھ لیے
خیال اسی کے تھے سو سو طرح سے باندھ لیے
وہ بن سنور کے نکلتی تو چھیڑتی تھی صبا
پھر اس نے بال ہی اپنے صبا سے باندھ لیے
ملے بغیر وہ ہم سے بچھڑ نہ جائے کہیں
یہ وسوسے بھی دل مبتلا سے باندھ لیے
ہمارے دل کا چلن بھی تو کوئی ٹھیک نہیں
کہاں کے عہد کہاں کی فضا سے باندھ لیے
وہ اب کسی بھی وسیلے سے ہم کو مل جائے
سو ہم نے اپنے ارادے دعا سے باندھ لیے
میں اک تھکا ہوا انسان اور کیا کرتا
طرح طرح کے تصور خدا سے باندھ لیے"
فاضل جمیلی,شوقین مزاجوں کے رنگین طبیعت کے,"شوقین مزاجوں کے رنگین طبیعت کے
وہ لوگ بلا لاؤ نمکین طبیعت کے
دکھ درد کے پیڑوں پر اب کے جو بہار آئی
پھل پھول بھی آئے ہیں غمگین طبیعت کے
خیرات محبت کی پھر بھی نہ ملی ہم کو
ہم لاکھ نظر آئے مسکین طبیعت کے
اب کے جو نشیبوں میں پرواز ہماری ہے
ہم کون سے ایسے تھے شاہین طبیعت کے
دیکھی ہے بہت ہم نے یہ فلم تعلق کی
کچھ بول تکلف کے کچھ سین طبیعت کے
اس عمر میں ملتے ہیں کب یار نشے جیسے
دارو کی طرح تیکھے کوکین طبیعت کے
اک عمر تو ہم نے بھی بھرپور گزاری ہے
دو چار مخالف تھے دو تین طبیعت کے
تم بھی تو میاں فاضلؔ اپنی ہی طرح کے ہو
دیں دار زمانے کے بے دین طبیعت کے"
فاضل جمیلی,خواب میں دیکھ رہا ہوں کہ حقیقت میں اسے,"خواب میں دیکھ رہا ہوں کہ حقیقت میں اسے
میں کبھی دیکھ نہیں سکتا مصیبت میں اسے
وہ مرا یار طرحدار کہ خوش فہم بھی ہے
کوئی دھوکہ ہی نہ دے جائے محبت میں اسے
زندگی ہو تو کئی کام نکل آتے ہیں
یاد آؤں گا کبھی میں بھی ضرورت میں اسے
اک تعلق تھا کہ شیشے کی طرح ٹوٹ گیا
جوڑ سکتا ہی نہیں میں کسی صورت میں اسے
آج تک جسم مرا ٹوٹ رہا ہے فاضلؔ
میں نے دیکھا تھا کبھی نیند کی حالت میں اسے"
فاضل جمیلی,اپنے ہونے کے جو آثار بنانے ہیں مجھے,"اپنے ہونے کے جو آثار بنانے ہیں مجھے
جانے کتنے در و دیوار بنانے ہیں مجھے
خود کو رکھنا بھی نہیں جنس گراں کی صورت
بکنے والوں کے بھی معیار بنانے ہیں مجھے
تیرے قدموں میں بچھانے ہیں زمینی رستے
اور اپنے لیے کہسار بنانے ہیں مجھے
اپنے جیسا کوئی دشمن بھی ضروری ہے بہت
تیرے جیسے بھی کئی یار بنانے ہیں مجھے
سلسلہ ٹوٹ نہ جائے مری وحشت کا کہیں
نقش قدموں کے لگاتار بنانے ہیں مجھے
تو کبھی دھوپ میں نکلے بھی تو چھاؤں میں رہے
راستے اور بھی چھتنار بنانے ہیں مجھے
میں رہوں یا نہ رہوں تیری کہانی تو رہے
اپنے جیسے کئی کردار بنانے ہیں مجھے"
فاضل جمیلی,داستانوں میں ملے تھے داستاں رہ جائیں گے,"داستانوں میں ملے تھے داستاں رہ جائیں گے
عمر بوڑھی ہو تو ہو ہم نوجواں رہ جائیں گے
شام ہوتے ہی گھروں کو لوٹ جانا ہے ہمیں
ساحلوں پر صرف قدموں کے نشاں رہ جائیں گے
ہم کسی کے دل میں رہنا چاہتے تھے اس طرح
جس طرح اب گفتگو کے درمیاں رہ جائیں گے
خواب کو ہر خواب کی تعبیر ملتی ہے کہاں
کچھ خیال ایسے بھی ہیں جو رائیگاں رہ جائیں گے
کس نے سوچا تھا کہ رنگ و نور کی بارش کے بعد
ہم فقط بجھتے چراغوں کا دھواں رہ جائیں گے
زندگی بے نام رشتوں کے سوا کچھ بھی نہیں
جسم کس کے ساتھ ہوں گے دل کہاں رہ جائیں گے"
فاضل جمیلی,کہیں سے نیلے کہیں سے کالے پڑے ہوئے ہیں,"کہیں سے نیلے کہیں سے کالے پڑے ہوئے ہیں
ہمارے پیروں میں کتنے چھالے پڑے ہوئے ہیں
کہیں تو جھکنا پڑے گا نان جویں کی خاطر
نہ جانے کس کے کہاں نوالے پڑے ہوئے ہیں
وہ خوش بدن جس گلی سے گزرا تھا اس گلی میں
ہم آج بھی اپنا دل سنبھالے پڑے ہوئے ہیں
ہماری خاطر بھی فاتحہ ہو برائے بخشش
ہم آپ اپنے پہ خاک ڈالے پڑے ہوئے ہیں
شہید ہیں ہم ہمیں کبھی رفتگاں نہ سمجھو
نہ جانے کب سے اجل کو ٹالے پڑے ہوئے ہیں
کہو تو دے دیں ہم آج تم کو حساب مستی
کہ ہم نے جتنے بھی جام اچھالے پڑے ہوئے ہیں
ہماری آنکھوں میں جب سے اترا ہے چاند کوئی
ہماری آنکھوں کے گرد ہالے پڑے ہوئے ہیں
ابھی تو ہم نے یہ زندگی اس کے نام کی ہے
ابھی تو جاں کے کئی ازالے پڑے ہوئے ہیں
یقیں نہیں ہے خود اپنے ہونے کا ہم کو ورنہ
کئی مثالیں کئی حوالے پڑے ہوئے ہیں
ہمارے کمرے میں اس کی یادیں نہیں ہیں فاضلؔ
کہیں کتابیں کہیں رسالے پڑے ہوئے ہیں"
فاضل جمیلی,تم نے پوچھا ہے تو احوال بتا دیتے ہیں,"تم نے پوچھا ہے تو احوال بتا دیتے ہیں
ورنہ چہرے بھی مہ و سال بتا دیتے ہیں
روح کا حال بھی اے کاش بتائے کوئی
دل کی حالت تو خد و خال بتا دیتے ہیں
اب مراسم بھی بساطوں پہ سجے مہرے ہیں
کون سی کس نے چلی چال بتا دیتے ہیں
کس میں اب کتنی اڑانوں کی سکت باقی ہے
ہر پرندے کے پر و بال بتا دیتے ہیں
دل کے غنچے بھی تھے معصوم ہمارے جیسے
کس کے ہاتھوں ہوئے پامال بتا دیتے ہیں
حاکم وقت کو کس کس نے سلامی دی ہے
کس کی تالی میں ہے سر تال بتا دیتے ہیں
گھر کی دیوار سے گرتے ہوئے روغن کی طرح
اب مری عمر مرے بال بتا دیتے ہیں"
فاضل جمیلی,ملنے کا بھی آخر کوئی امکان بناتے,"ملنے کا بھی آخر کوئی امکان بناتے
مشکل تھی اگر کوئی تو آسان بناتے
رکھتے کہیں کھڑکی کہیں گلدان بناتے
دیوار جہاں ہے وہاں دالان بناتے
تھوڑی ہے بہت ایک مسافت کو یہ دنیا
کچھ اور سفر کا سر و سامان بناتے
کرتے کہیں احساس کے پھولوں کی نمائش
خوابوں سے نکلتے کوئی وجدان بناتے
تصویر بناتے جو ہم اس شوخ ادا کی
لازم تھا کہ مسکان ہی مسکان بناتے
اس جسم کو کچھ اور سمیٹا ہوا رکھتے
زلفوں کو ذرا اور پریشان بناتے
کچھ دن کے لئے کام سے فرصت ہمیں ملتی
کچھ دن کے لئے خود کو بھی مہمان بناتے
دو جسم کبھی ایک بدن ہو نہیں سکتے
ملتی جو کوئی روح تو یک جان بناتے"
فاضل جمیلی,میرے ہونٹوں پہ تیرے نام کی لرزش تو نہیں,"میرے ہونٹوں پہ تیرے نام کی لرزش تو نہیں
یہ جو آنکھوں میں چمک ہے کوئی خواہش تو نہیں
رنگ ملبوس ہوئے لمس ہوئی ہے خوش بو
آج پھر شہر میں پھولوں کی نمائش تو نہیں
ایک ہی سانس میں دہرائے چلے جاتے ہیں
یہ محبت کہیں الفاظ کی ورزش تو نہیں
دیکھتا رہتا ہوں چپ چاپ گزرتے بادل
یہ تعلق بھی کوئی دھوپ کی بارش تو نہیں
تم کبھی ایک نظر میری طرف بھی دیکھو
اک توقع ہی تو ہے کوئی گزارش تو نہیں
مل بھی جائیں کہیں آنکھیں تو مرمت نہ کریں
ہم میں ایسی کوئی تلخی کوئی رنجش تو نہیں"
فاضل جمیلی,مرے وجود کو پرچھائیوں نے توڑ دیا,"مرے وجود کو پرچھائیوں نے توڑ دیا
میں اک حصار تھا تنہائیوں نے توڑ دیا
بہم جو محفل اغیار میں رہے تھے کبھی
یہ سلسلہ بھی شناسائیوں نے توڑ دیا
بس ایک ربط نشانی تھا اپنے پرکھوں کی
اسے بھی آج مرے بھائیوں نے توڑ دیا
تو بے خبر ہے مگر نیند سے بھری لڑکی
مرا بدن تری انگڑائیوں نے توڑ دیا
خزاں کی رت میں بھی میں شاخ سے نہیں ٹوٹا
مجھے بہار کی پروائیوں نے توڑ دیا
مرا بھرم تھا یہی ایک میری تنہائی
یہ اک بھرم بھی تماشائیوں نے توڑ دیا"
عامر اظہر,درد دل ہے نہ فلسفہ مرے پاس,"درد دل ہے نہ فلسفہ مرے پاس
دال روٹی کا مسئلہ مرے پاس
پاس میرے بھی ہے تری ہی دعا
کاش ہوتا ترا خدا مرے پاس
آگہی آ گئی تو آ ہی گئی
اب نہیں کوئی راستہ مرے پاس
ایک پل ایک پل نہ روک سکا
وقت میرا تھا کب مرا مرے پاس
سست راتوں میں جس نے چھوڑا تھا
تیز بارش میں آ گیا مرے پاس
تم پری زاد ہو میں آدم ہوں
ایسے بے سدھ نہ بیٹھنا مرے پاس
واقعہ یہ ہے تو جو آ نہ سکا
تب سے میں بھی نہ آ سکا مرے پاس
میرا غم بھی ہے تیرے غم جیسا
ہے پر اس غم کی انتہا مرے پاس
درد جالی ہیں اشک نقلی ہیں
ایک ہے نیند کی دوا مرے پاس
وقت کا کیا قصور وقت تھا وہ
تو بھی عامرؔ کہاں رہا مرے پاس"
عامر اظہر,چلتے جاتے ہیں پر نہیں آتی,"چلتے جاتے ہیں پر نہیں آتی
آخری رہگزر نہیں آتی
ہم کو بے چین کر کے رکھتی ہے
ایک شے جو نظر نہیں آتی
آنکھ میں کچھ چلا گیا شاید
آنکھ یوںہی تو بھر نہیں آتی
بیٹھے بیٹھے خیال آتا ہے
ان کی کوئی خبر نہیں آتی
اس قدر کم دکھائی دیتا ہے
ایک صورت نظر نہیں آتی
وہ بلا میرے سر میں رہتی ہے
جو بلا میرے سر نہیں آتی
روز پرسش کو لوگ آتے ہیں
موت جب وقت پر نہیں آتی"
عامر اظہر,بڑے دن سے ہرے ہیں پات یہاں,"بڑے دن سے ہرے ہیں پات یہاں
کوئی ٹکتی نہیں ہے بات یہاں
کہاں سیکھے تھے نام آدم نے
کہاں تحقیق سے نجات یہاں
وہی لکھتے ہیں جو نصاب میں ہے
وہی تقدیر سی ہے بات یہاں
یہ تکلف کا کوئی باب نہیں
لگی رہتی ہے احتیاط یہاں
جی مرا نام ویسے عامرؔ ہے
کھڑا ملتا ہوں روز رات یہاں"
عامر اظہر,بدن اتار کے کپڑے بدل رہا ہے کوئی,"بدن اتار کے کپڑے بدل رہا ہے کوئی
نئی سرشت پہن کر نکل رہا ہے کوئی
قدم قدم پہ اندھیرا بھی بڑھتا جاتا ہے
گمان ہوتا ہے پیچھے بھی چل رہا ہے کوئی
یقین ہی نہیں آتا وہ کیسے بول پڑا
مرا خیال تھا بس وہم پل رہا ہے کوئی
بڑا گمان ہے وعدوں پہ ٹال رکھا ہے
حضور آپ کے ٹالے سے ٹل رہا ہے کوئی
میں اپنی ذات میں اترا تو میں نے یہ دیکھا
بہت خموشی سے باہر نکل رہا ہے کوئی
تماشہ آدھا ادھورا ہے دیکھیے عامرؔ
تصورات کو آنکھوں پہ مل رہا ہے کوئی"
عامر اظہر,ناز پر یہ گداز کیسے ہے,"ناز پر یہ گداز کیسے ہے
تو حقیقت مجاز کیسے ہے
مجھ کو دھڑکن کا ہے سدا دھڑکا
نا دھڑکنے سے باز کیسے ہے
یہ جہاں ہے جہاں بھی دیکھو گے
پھر نشیب و فراز کیسے ہے
کوئی کوفہ و کربلا میں شہید
کوئی محمود ایاز کیسے ہے
زندگی کا یا موت کا ہو شعور
یہ مجھے بے ریاض کیسے ہے
اے مرے خواب تو اگر ہے گماں
تو حقیقت نواز کیسے ہے
جب نہیں ہے کسی کو میرا لحاظ
مجھ کو سب کا لحاظ کیسے ہے
جو نہیں وقت کاٹتے کٹتا
حال کا امتیاز کیسے ہے
رشک مخلوق آدمی عامرؔ
اک قلم کی بیاض کیسے ہے"
عامر اظہر,کیا کسی رابطے میں رکھا ہے,"کیا کسی رابطے میں رکھا ہے
ہم نے دل راستے میں رکھا ہے
اب خداؤں کی کیا ضرورت ہے
آئنہ بت کدہ میں رکھا ہے
نا تمہاری خطا ہے نا میری
مسئلہ مسئلے میں رکھا ہے
رات رکھی ہے اس نے دن کے بعد
آپ کو فائدے میں رکھا ہے
کیا رکھا ہے پرانی چیزوں میں
جو نیا ہے نئے میں رکھا ہے
اگلے وقتوں پہ سوچ کر عامرؔ
وقت کو قاعدے میں رکھا ہے"
عامر اظہر,کیا کسی رابطے میں رکھا ہے,"کیا کسی رابطے میں رکھا ہے
ہم نے دل راستے میں رکھا ہے
اب خداؤں کی کیا ضرورت ہے
آئنہ بت کدے میں رکھا ہے
نا تمہاری خطا ہے نا میری
مسئلہ مسئلے میں رکھا ہے
رات رکھی ہے اس نے دن کے بعد
آپ کو فائدے میں رکھا ہے
اس کو انداز ہے تسلسل کا
زلف کو سلسلے میں رکھا ہے
کیا رکھا ہے پرانی چیزوں میں
جو نیا ہے نئے میں رکھا ہے
اگلے وقتوں پہ سوچ کر عامرؔ
وقت کو قاعدے میں رکھا ہے"
عامر اظہر,کچھ بھی نہیں رہا ہے عہد وفا کہ تھا,"کچھ بھی نہیں رہا ہے عہد وفا کہ تھا
دلی جو شہر دل تھا جو کچھ بھی تھا کہ تھا
ثابت نہیں کسی سے اک زاویہ کہ تھا
ثابت کی ہر کمی سے ثابت ہوا کہ تھا
سب کو ملا مسیحا سب سے نہیں ملا
کچھ کا تڑپ کے مرنا اک فیصلہ کہ تھا
جب بھی وہی خدا تھا اب بھی وہی خدا
اک تھا خدا نہیں تھا اک ہے خدا کہ تھا
جاتے ہیں سب فلک کو آئے فلک سے کچھ
اک سلسلہ ہے جاری اک سلسلہ کہ تھا
آنکھیں بھی رقص میں تھیں رومی بھی رقص میں
بس رقص رہ گیا ہے اک فلسفہ کہ تھا
تیرا سراب چہرہ صحرائے وقت میں
لگتا رہا نہیں ہے دکھتا رہا کہ تھا
مدھم سی روشنی تھی ہلکا سا چاند تھا
دل کو سکون عامرؔ آنسو بہا کہ تھا"
عامر اظہر,ناروا ثبت کیا کن کا اشارہ کر کے,"ناروا ثبت کیا کن کا اشارہ کر کے
دیکھنا ہے یہ تماشا بھی دوبارہ کر کے
حق پسندی نے کہاں چین دلوں کو بخشا
لوگ امید پہ آئے تھے سہارا کر کے
مصلحت پا کے مؤرخ نے کیا دفن اسے
لوگ خوش تھے انہیں یادوں پہ گزارا کر کے
چند تاجر ہیں کچھ عاشق ہیں اور اک دو شاعر
دل کے بازار میں بیٹھے ہیں خسارہ کر کے
اک لقب دے کے اسے نام و نشاں چھین لیا
عشق کا قیس نے یہ نقش ابھارا کر کے
کب لکھے سے ہی ہوا کوئی کسی کا عامرؔ
آپ خود کے بھی ہوئے خود کو گوارہ کر کے"
فاضل جمیلی,ہم نے کسی کی یاد میں اکثر شراب پی,"ہم نے کسی کی یاد میں اکثر شراب پی
پی کر غزل کہی تو مکرر شراب پی
یادوں کا اک ہجوم تھا تنہا نہیں تھا میں
ساحل کی چاندنی میں سمندر شراب پی
مدت کے بعد آج میں آفس نہیں گیا
خود اپنے ساتھ بیٹھ کے دن بھر شراب پی
اس کاک ٹیل کا تو نشہ ہی کچھ اور ہے
غم کو خوشی کے ساتھ ملا کر شراب پی
ویسے تو ہم نے پی ہی نہیں تھی کبھی شراب
پینے لگے تو وجد میں آ کر شراب پی
اب کون جا کے صاحب منبر سے یہ کہے
کیوں خون پی رہا ہے ستم گر شراب پی"
عامر اظہر,دیکھو یہ اس کا دیکھنا دیکھے سے آئے گا,"دیکھو یہ اس کا دیکھنا دیکھے سے آئے گا
اور پھر جو دیکھ لو گے تو دیکھا نہ جائے گا
یہ ایسی منزلیں ہیں کہ رستہ نہیں کوئی
سامان باندھ لو گے تو رستہ بلائے گا
بے دست و پا تھا شب میں تری یاد کے سبب
اتنا کہ لگ رہا تھا کہ تو چھوٹ جائے گا
کھو ہی گئی زبان خموشی کے درمیان
صحرا میں کوئی شور بھی کب تک مچائے گا
عامرؔ تجھے پتا ہی نہیں اصلیت ہے کیا
لیکن یہ خواب میں بھی سفر کٹ ہی جائے گا"
عامر اظہر,اس مسافت میں کتنے در گزرے,"اس مسافت میں کتنے در گزرے
تیری منزل سے ہم کدھر گزرے
تھے مسافر سفر جچا نہ جنہیں
قافلے ان پہ رات بھر گزرے
میری آنکھوں کو چھوڑنے والے
میرا دروازہ بند کر گزرے
رات پابند ہے تو دن بخشو
آ بھی جاؤ کہ دوپہر گزرے
بد گمانی سے کیا بچیں گے ہم
بد گمانی جو آپ پر گزرے
کیا گزرتی رہی گزرنے تک
اور گزرے تو بے اثر گزرے
بزم ہستی میں یار عامرؔ خاں
مرنے آئے تھے اور کر گزرے"
فاضل جمیلی,گزرتی ہے جو دل پر وہ کہانی یاد رکھتا ہوں,"گزرتی ہے جو دل پر وہ کہانی یاد رکھتا ہوں
میں ہر گل رنگ چہرے کو زبانی یاد رکھتا ہوں
میں اکثر کھو سا جاتا ہوں گلی کوچوں کے جنگل میں
مگر پھر بھی ترے گھر کی نشانی یاد رکھتا ہوں
مجھے اچھے برے سے کوئی نسبت ہے تو اتنی ہے
کہ ہر نا مہرباں کی مہربانی یاد رکھتا ہوں
کبھی جو زندگی کی بے ثباتی یاد آتی ہے
تو سب کچھ بھول جاتا ہوں جوانی یاد رکھتا ہوں
مجھے معلوم ہے کیسے بدل جاتی ہیں تاریخیں
اسی خاطر تو میں باتیں پرانی یاد رکھتا ہوں"
فاضل جمیلی,خزاں کا رنگ درختوں پہ آ کے بیٹھ گیا,"خزاں کا رنگ درختوں پہ آ کے بیٹھ گیا
میں تلملا کے اٹھا پھڑپھڑا کے بیٹھ گیا
کسی نے جام اچھالا بنام شام الم
کوئی ملال کی وحشت چھپا کے بیٹھ گیا
ملا نہ جب کوئی محفل میں ہم نشینی کو
میں اک خیال کے پہلو میں جا کے بیٹھ گیا
پرانے یار بھی آپس میں اب نہیں ملتے
نہ جانے کون کہاں دل لگا کے بیٹھ گیا
ملے بغیر بچھڑنے کو کیا کہا جائے
بس اک خلش تھی جسے میں نبھا کے بیٹھ گیا
میں اپنے آپ سے آگے نکلنے والا تھا
سو خود کو اپنی نظر سے گرا کے بیٹھ گیا
کسے خبر تھی نہ جائے گی دل کی ویرانی
میں آئینوں میں بہت سج سجا کے بیٹھ گیا"
عامر اظہر,میں رہا عمر بھر یہیں کا رہا,"میں رہا عمر بھر یہیں کا رہا
میں کناروں پہ بھی زمیں کا رہا
لے گیا وقت تیرا نقش کہاں
جو کہیں تھا نہ پھر کہیں کا رہا
میرے آنگن میں اک کلی نہ ملی
کوئی قصہ نہ نازنیں کا رہا
تھا یہ تحفہ اگرچہ میرے لیے
تیرا خنجر تو آستیں کا رہا
تیرا انکار خاموشی سے ہوا
بہت اصرار پھر نہیں کا رہا
وہ جو ٹھہرے کہیں وہیں نہ رہے
میرا عامرؔ کہاں کہیں کا رہا"
فاضل جمیلی,مجھے اداس کر گئے ہو خوش رہو,"مجھے اداس کر گئے ہو خوش رہو
مرے مزاج پر گئے ہو خوش رہو
مرے لیے نہ رک سکے تو کیا ہوا
جہاں کہیں ٹھہر گئے ہو خوش رہو
خوشی ہوئی ہے آج تم کو دیکھ کر
بہت نکھر سنور گئے ہو خوش رہو
اداس ہو کسی کی بے وفائی پر
وفا کہیں تو کر گئے ہو خوش رہو
گلی میں اور لوگ بھی تھے آشنا
ہمیں سلام کر گئے ہو خوش رہو
تمہیں تو میری دوستی پہ ناز تھا
اسی سے اب مکر گئے ہو خوش رہو
کسی کی زندگی بنو کہ بندگی
مرے لیے تو مر گئے ہو خوش رہو"
عامر اظہر,ستاروں کی گنتی ہے ہم جانتے ہیں,"ستاروں کی گنتی ہے ہم جانتے ہیں
ابھی رات باقی ہے ہم جانتے ہیں
یہ شہرت مجازی ہے ہم جانتے ہیں
کہ ہے بھی نہیں بھی ہے ہم جانتے ہیں
بہت ساری اچھی سی خوش فہمیوں کی
جو قیمت ادا کی ہے ہم جانتے ہیں
گلستاں نظارے درخت اک محرم
جو دل پہ گزرتی ہے ہم جانتے ہیں
یہ زلف خیال خطا ہے نہ کھولو
یہ کھل کر جو کرتی ہے ہم جانتے ہیں
یہ ذات خدا ہے یہ دکھتی ہے دیکھو
مگر کس نے دیکھی ہے ہم جانتے ہیں
بیک وقت ضبط و ہوس کر کے عامرؔ
طبیعت جو بگڑی ہے ہم جانتے ہیں"
عامر اظہر,ہم پہ لازم تھا پہنچنا سو یہاں تک پہنچے,"ہم پہ لازم تھا پہنچنا سو یہاں تک پہنچے
شوق رکتا ہی نہیں چاہے جہاں تک پہنچے
لا مکاں سے جو چلے کون و مکاں تک پہنچے
بے کرانی سے گئے حد گماں تک پہنچے
کوئی صحرا کو چلا کوئی سمندر کو گیا
تیری آنکھوں کے سخن اہل جہاں تک پہنچے
کوئی اپنی بھی تو لے جائے کبھی بات وہاں
کتنے پیغام وہاں سے تو یہاں تک پہنچے
دل کا الجھاؤ ہے داغ دل آدم عامرؔ
دل کو معلوم نہیں داغ یہاں تک پہنچے"
عامر اظہر,گزرے ہوئے وقتوں کا نشاں تھا تو کہاں تھا,"گزرے ہوئے وقتوں کا نشاں تھا تو کہاں تھا
ہم سے جو نہاں ہے وہ عیاں تھا تو کہاں تھا
اس طرح لپٹتی ہے اداسی کہ یہ سوچیں
دو پل کی خوشی کا جو گماں تھا تو کہاں تھا
بستی کا تقاضہ ہے کہیں ہیں تو کہاں ہیں
مجنوں کا بیاباں میں مکاں تھا تو کہاں تھا
بیٹھا ہے مرے پاس کہ چلنا نہیں ممکن
صحبت کی حدوں کا جو نشاں تھا تو کہاں تھا
اب سوچتے ہیں بیٹھ کے گلشن کی فضا میں
صحرا میں ہمارا جو مکاں تھا تو کہاں تھا
پیری ہے بزرگی ہے بڑھاپا ہے کہ کیا ہے
اس کرب میں رہنا کہ جواں تھا تو کہاں تھا
نشہ ہی نہیں سب کا بھرم ٹوٹ رہا تھا
سنتے تھے کوئی پیر مغاں تھا تو کہاں تھا
عامرؔ کو ہمیں ڈھونڈ کے لائیں ہیں بہ مشکل
کہتے ہیں وہ پہلے سے یہاں تھا تو کہاں تھا"
عامر اظہر,پڑھ لے گا کوئی رات کی روئی ہوئی آنکھیں,"پڑھ لے گا کوئی رات کی روئی ہوئی آنکھیں
ہر سمت ہیں آرام سے سوئی ہوئی آنکھیں
جن لوگوں کی منزل پہ نظر ہوتی ہے ہر دم
ان کا ہی تماشا ہیں یہ کھوئی ہوئی آنکھیں
دن بھر تو جمے رہتے ہیں پلکوں پہ وہی خواب
کیوں ہوش میں لاتی نہیں دھوئی ہوئی آنکھیں
آنکھوں کا جمال آپ کو معلوم ہی کیا ہے
دیکھیں ہیں کبھی رات وہ سوئی ہوئی آنکھیں
دل ہے کہ تجھے پائیں بکھر جائیں اے مولا
بینائی کے دھاگے میں پروئی ہوئی آنکھیں
کچھ بھی نہ دکھا معجزہ تھا ہی یہی عامرؔ
کھولی گئیں زمزم سے بھگوئی ہوئی آنکھیں"
ارم زہرا,فلک پہ چاند دھرتی پر نظارے رقص کرتے ہیں,"فلک پہ چاند دھرتی پر نظارے رقص کرتے ہیں
میں شب کو بام پر آؤں ستارے رقص کرتے ہیں
ترے آنے پہ جو اکثر خوشی سے میں پکڑتی ہوں
مرے ہاتھوں کو چھوکر وہ غبارے رقص کرتے ہیں
شب فرقت کو میں جب زندگی میں جوڑنا چاہوں
جدائی میں اٹھائے جو خسارے رقص کرتے ہیں
کبھی ہاتھوں میں لے کر ہاتھ ہم چلتے ہیں ساحل پر
جو پاؤں پانی میں رکھیں کنارے رقص کرتے ہیں
نہ جانے کیوں اچانک اپنی آنکھیں بند کرتی ہوں
ترے شانوں پہ جب گیسو ہمارے رقص کرتے ہیں
کبھی نظریں چرا کر تیری جانب دیکھ لیتی ہوں
تری آنکھوں میں دیکھوں تو اشارے رقص کرتے ہیں"
ارم زہرا,تری ڈگر کو میں اپنی نظر میں رکھتی ہوں,"تری ڈگر کو میں اپنی نظر میں رکھتی ہوں
ہزار پھول تری راہ گزر میں رکھتی ہوں
میں تیری یاد کو آنچل میں باندھ لائی ہوں
ترے خیال کو زاد سفر میں رکھتی ہوں
تو ایک پل بھی جدا مجھ سے ہو نہیں سکتا
میں تیری یاد کو شام و سحر میں رکھتی ہوں
مری وفاؤں کی گرمی سے تو بھی پگھلے گا
اک ایسا شعلہ میں اپنے جگر میں رکھتی ہوں
مجھے ڈرائے گا کیسے یہ پانیوں کا مزاج
میں اپنی کشتی ہمیشہ بھنور میں رکھتی ہوں
تلاش کرتے ہو تم مجھ کو چاند کے اندر
میں اپنے چہرے کا پرتو قمر میں رکھتی ہوں
ارمؔ نے شعروں سے سب کو اسیر ایسے کیا
کہ جیسے جادو میں اپنے ہنر میں رکھتی ہوں"
ارم زہرا,میں اپنی وفاؤں کا بھرم لے کے چلی ہوں,"میں اپنی وفاؤں کا بھرم لے کے چلی ہوں
ہاتھوں میں محبت کا علم لے کے چلی ہوں
چلنے ہی نہیں دیتی تھی اک وعدے کی زنجیر
مشکل تھا مگر بار ستم لے کے چلی ہوں
کیا پوچھتے ہو مجھ سے مرے زاد سفر کا
اسباب میں بس یاد صنم لے کے چلی ہوں
جس شہر کے ہر موڑ پہ کانٹے ہی بچھے ہیں
اس شہر میں بھی زخمی قدم لے کے چلی ہوں
کوئی بھی سفر میں نے ادھورا نہیں چھوڑا
چلنا ہے تو منزل کی قسم لے کے چلی ہوں
مجھ کو ہے یقیں حرف کی حرمت پہ ہمیشہ
تنہا تھی مگر اپنا قلم لے کے چلی ہوں
خوش بخت ہے وہ جس کے مقدر میں ارمؔ ہے
میں ساتھ میں اک باغ ارم لے کے چلی ہوں"
